frame.number,frame.time_epoch,frame.len,btle.length,btle.central_bd_addr,btle.peripheral_bd_addr,btle.access_address,btle.data_header.llid,btatt.opcode,btatt.handle,btatt.value,inter_arrival_time,type
7522,1763251869.479433,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022912025451660156,normal
7523,1763251869.494206,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014772891998291016,normal
7524,1763251869.494434,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002281665802001953,normal
7525,1763251869.509207,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014772891998291016,normal
7526,1763251869.509435,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022792816162109375,normal
7527,1763251869.539209,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.029773950576782227,normal
7528,1763251869.539437,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002281665802001953,normal
7529,1763251869.55421,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014772891998291016,normal
7530,1763251869.554439,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022912025451660156,normal
7531,1763251869.584212,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.02977299690246582,normal
7532,1763251869.58444,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022792816162109375,normal
7533,1763251869.599212,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01477193832397461,normal
7534,1763251869.599441,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022912025451660156,normal
7535,1763251869.629214,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.02977299690246582,normal
7536,1763251869.629443,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002288818359375,normal
7537,1763251869.644215,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014772176742553711,normal
7538,1763251869.644444,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002288818359375,normal
7539,1763251869.659216,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01477193832397461,normal
7540,1763251869.659445,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022912025451660156,normal
7541,1763251869.674217,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01477193832397461,normal
7542,1763251869.674446,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022912025451660156,normal
